smiles,record_id,predicted_pIC50,predicted_IC50_nM,admet_score,admet_class,admet_n_red_flags,admet_n_yellow_flags,MolWt,LogP,QED,RingCount,admet_herg_risk,admet_ames_risk,admet_hepatotox_risk,admet_caco2_class,admet_hia_class,admet_bbb_penetrant,admet_metabolic_stability,admet_cyp_inhibition_risk,shape_score,similarity_score,n_conformers,rank
O=C(C1CC2(CCN(C3CCOCC3)CC2)C1)N1CCC2(CC1)CC(c1cnc3[nH]ccc3c1)C2,cand_220,7.142890430237511,71.96305133487297,0.75,favorable,1,5,476.6650000000003,4.720300000000004,0.6963729428234061,7,red,green,green,high,high,True,high,moderate,0.0,0.045,3,1
CCC1CC2(CCN(C(=O)C3CC4(CCN(c5ccccc5C5=CCN(C)CC5)CC4)C3)CC2)C1,cand_222,7.136553356850651,73.02080949529812,0.737,favorable,1,5,475.72100000000046,5.830900000000007,0.5480579997527695,6,red,green,yellow,high,high,True,high,low,0.0,0.045,3,2
O=C(C1CC2(CCN([C@@H]3COCCO3)CC2)C1)N1CCC2(CC1)CC(c1cnc3[nH]ccc3c1)C2,cand_213,7.226854155960712,59.31244731979154,0.75,favorable,1,5,478.6370000000003,3.914200000000002,0.7243058419972614,7,red,green,green,high,high,True,high,moderate,0.0,0.044,3,3
O=C(C1CC2(CCN(c3cnc4[nH]ccc4c3)CC2)C1)N1CCC2(CC1)CC([C@@H]1COCCO1)C2,cand_215,7.213522723394945,61.1613800923493,0.75,favorable,1,5,478.6370000000005,3.993700000000003,0.7223362221681386,7,red,green,green,high,high,True,high,moderate,0.0,0.043,3,4
CN1CC=C(c2ccccc2N2CCC3(CC2)CC(C(=O)N2CCC4(CC2)CC([C@@H]2COCCO2)C4)C3)CC1,cand_217,7.203714233770958,62.55841924383959,0.762,favorable,1,5,533.7570000000004,4.836300000000005,0.5545643381890707,7,red,green,yellow,high,high,True,moderate,low,0.0,0.043,3,5
CN1CC=C(c2ccccc2[C@H]2CCCN2C(=O)C2CC3(CCN(C4CCOCC4)CC3)C2)CC1,cand_235,7.03199022401876,92.8987298075294,0.825,favorable,1,3,477.6930000000005,4.740200000000005,0.6276398752063537,6,red,green,green,high,high,True,high,low,0.0,0.043,3,6
CN1CC=C(c2ccccc2C2CCN(C(=O)C3CC4(CCN(C5CCOCC5)CC4)C3)CC2)CC1,cand_242,7.00985898375902,97.75545832539676,0.825,favorable,1,3,491.7200000000005,4.782700000000005,0.607244873560841,6,red,green,green,high,high,True,high,low,0.0,0.043,3,7
CN1CC=C(c2ccccc2C2CC3(CCN(C(=O)C4CC5(CCN(C6CCOCC6)CC5)C4)CC3)C2)CC1,cand_209,7.2917984546580925,51.074196771752405,0.722,favorable,1,6,531.7850000000004,5.562900000000006,0.5095447862001807,7,red,green,green,high,moderate,True,moderate,low,0.0,0.043,3,8
CN1CC=C(c2ccccc2[C@@H]2CN(C)CCN2C(=O)C2CC3(CCN(C4CCOCC4)CC3)C2)CC1,cand_239,7.01531457280664,96.53513920841344,0.8,favorable,1,4,506.7350000000005,3.8918000000000026,0.6196803790583878,6,red,green,green,high,high,True,moderate,low,0.0,0.042,3,9
CN1CC=C(c2ccccc2C2CC3(CCN(C(=O)C4CC5(CCN([C@@H]6COCCO6)CC5)C4)CC3)C2)CC1,cand_214,7.213900362116776,61.10822061790776,0.8,favorable,1,4,533.7570000000004,4.756800000000005,0.5587427202478525,7,red,green,green,high,high,True,moderate,low,0.0,0.042,3,10
CN1CCN(C(=O)C2CC3(CCN(C4CCOCC4)CC3)C2)[C@H](c2cnc3[nH]ccc3c2)C1,cand_236,7.023976163239537,94.6289098124129,0.788,favorable,0,6,451.6150000000002,3.049200000000001,0.7771786496185912,6,yellow,green,green,high,high,False,high,moderate,0.0,0.041,3,11
CN1CC=C(c2ccccc2C2CC3(CCN(C(=O)C4CC5(CCN(c6cnc7[nH]ccc7c6)CC5)C4)CC3)C2)CC1,cand_198,7.434959560194811,36.73165019831151,0.659,moderate,1,8,563.7900000000001,6.464800000000007,0.3956662294117021,8,red,green,green,high,moderate,True,moderate,moderate,0.0,0.039,3,12
CN1CC=C(c2ccccc2[C@@H]2CN(C)CCN2C(=O)C2CC3(CCN(c4cnc5[nH]ccc5c4)CC3)C2)CC1,cand_212,7.241361875194254,57.363827981784006,0.75,favorable,1,5,538.7400000000002,4.793700000000004,0.5175902069698163,7,red,green,green,high,high,True,moderate,moderate,0.0,0.038,3,13
CN1CC=C(c2ccccc2N2CCC3(CC2)CC(C(=O)N2CCN(C)C[C@H]2c2cnc4[nH]ccc4c2)C3)CC1,cand_210,7.250991672279389,56.105873439064645,0.712,favorable,1,6,538.7400000000001,4.793700000000004,0.5175902069698163,7,red,green,yellow,high,high,True,moderate,moderate,0.0,0.038,3,14
O=C(C1CC2(CCN(C3CC3)CC2)C1)N1CCC2(CC1)CC(c1cnc3[nH]ccc3c1)C2,cand_221,7.1391435129087615,72.58660548647651,0.775,favorable,1,4,432.6120000000002,4.703700000000004,0.7646170155114139,7,red,green,green,high,high,True,high,moderate,0.0,0.036,3,15
CN1CC=C(c2ccccc2C2CCN(C(=O)C3CC4(CCN(c5ccccc5C5=CCN(C)CC5)CC4)C3)CC2)CC1,cand_200,7.4140576565634415,38.54271852860486,0.672,moderate,1,8,578.845,6.527200000000008,0.4038278929742894,7,red,green,yellow,high,moderate,True,moderate,low,0.0,0.034,3,16
CC(C)C1CC2(CCN(C(=O)C3CC4(CCN(c5ccccc5C5=CCN(C)CC5)CC4)C3)CC2)C1,cand_219,7.184243403401881,65.42693814071335,0.737,favorable,1,5,489.7480000000005,6.076900000000007,0.5130124264060422,6,red,green,yellow,high,high,True,high,low,0.0,0.034,3,17
CN1CC=C(c2ccccc2C2CC3(CCN(C(=O)C4CC5(CCN(c6ccccc6C6=CCN(C)CC6)CC5)C4)CC3)C2)CC1,cand_197,7.454286887588525,35.1328282336364,0.672,moderate,1,8,618.9099999999999,7.307400000000009,0.3517390628321581,8,red,green,yellow,high,moderate,True,moderate,low,0.0,0.034,3,18
CN1CC=C(c2ccccc2C2CC3(CCN(C(=O)C4CC5(CCN(C6CC6)CC5)C4)CC3)C2)CC1,cand_207,7.330601113974364,46.708818939011564,0.788,favorable,1,4,487.7320000000005,5.546300000000006,0.5574112207122424,7,red,green,green,high,high,True,high,low,0.0,0.034,3,19
CN1CC=C(c2ccccc2C2CCN(C(=O)C3CC4(CCN(C5CC5)CC4)C3)CC2)CC1,cand_243,7.009575990165949,97.81917818536216,0.825,favorable,1,3,447.6670000000004,4.766100000000005,0.6654459298890437,6,red,green,green,high,high,True,high,low,0.0,0.034,3,20
CN1CC=C(c2ccccc2N2CCC3(CC2)CC(C(=O)N2CCC4(CC2)CC(N(C)C)C4)C3)CC1,cand_232,7.046020670147908,89.94547711643128,0.788,favorable,1,4,490.7360000000005,4.734900000000005,0.610192875056474,6,red,green,yellow,high,high,True,high,low,0.0,0.034,3,21
CN1CC=C(c2ccccc2[C@@H]2CN(C)CCN2C(=O)C2CC3(CCN(C4CC4)CC3)C2)CC1,cand_238,7.018923991118331,95.73616111117248,0.825,favorable,1,3,462.6820000000004,3.875200000000003,0.6794886875323441,6,red,green,green,high,high,True,high,low,0.0,0.033,3,22
CN1CC=C(c2ccccc2N2CCC3(CC2)CC(C(=O)N2CCC[C@@H]2C2CC2)C3)CC1,cand_231,7.048105676139975,89.5146924463728,0.788,favorable,1,4,433.6400000000003,4.803100000000005,0.6822069293871337,6,red,green,yellow,high,high,True,high,low,0.0,0.033,3,23
CN1CC=C(c2ccccc2[C@H]2CCCN2C(=O)C2CC3(CCN(c4ccccc4C4=CCN(C)CC4)CC3)C2)CC1,cand_204,7.369919303302259,42.66587893386635,0.672,moderate,1,8,564.8180000000001,6.484700000000008,0.4156610564072407,7,red,green,yellow,high,moderate,True,moderate,low,0.0,0.033,3,24
CN1CC=C(c2ccccc2N2CCC3(CC2)CC(C(=O)N2CCN(C)C[C@H]2C2CC2)C3)CC1,cand_228,7.062134751139977,86.66929200519819,0.788,favorable,1,4,462.6820000000004,3.9547000000000025,0.6777488209813847,6,red,green,yellow,high,high,True,high,low,0.0,0.033,3,25
CN1CCN(C(=O)C2CC3(CCN(C4CC4)CC3)C2)[C@H](c2cnc3[nH]ccc3c2)C1,cand_240,7.010853942409812,97.5317591655595,0.788,favorable,0,6,407.56200000000007,3.0326000000000004,0.8498031409889543,6,yellow,green,green,high,high,True,high,moderate,0.0,0.032,3,26
CN1CC=C(c2ccccc2C2CC3(CCN(C(=O)C4CC5(CCN([C@H]6CC[C@](C)(O)CC6)CC5)C4)CC3)C2)CC1,cand_201,7.397493922661789,40.04110714790555,0.709,favorable,1,7,559.8390000000003,6.077500000000007,0.4859802634331077,7,red,green,green,high,moderate,True,moderate,low,0.0,0.031,3,27
CN1CC=C(c2ccccc2[C@@H]2CN(C)CCN2C(=O)C2CC3(CCN([C@H]4CC[C@](C)(O)CC4)CC3)C2)CC1,cand_233,7.042533921118327,90.67051424692472,0.8,favorable,1,4,534.7890000000003,4.406400000000003,0.6204610648129385,6,red,green,green,high,high,True,moderate,low,0.0,0.03,3,28
CN1CC=C(c2ccccc2N2CCC3(CC2)CC(C(=O)N2CCN(C)C[C@H]2[C@H]2CC[C@](C)(O)CC2)C3)CC1,cand_225,7.085069527092354,82.21110259748501,0.762,favorable,1,5,534.7890000000003,4.485900000000004,0.6172007571216306,6,red,green,yellow,high,high,True,moderate,low,0.0,0.03,3,29
O=C(C1CC2(CCN(C3CCOCC3)CC2)C1)N1CCC2(CC1)CC([C@@H]1COCCO1)C2,cand_241,7.009924819430022,97.7406404801846,0.837,favorable,0,5,446.6320000000004,3.091800000000001,0.6668939876682665,6,yellow,green,green,high,high,True,high,low,0.0,0.013,3,30
